Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
sct_439401001_val,erker_v15ib,,dropdown,6.1.12 Patientenstatus - Absicherung der (Primär-)Diagnose,"sct_439401001_20401003_405824009, Durch molekulargenetische Untersuchung gesicherte Diagnose | sct_39154008_20401003_8116006_410657003_41769001, Klinische Verdachtsdiagnose wahrscheinlich durch Phänotyp (HPO), aber keine genetische Diagnose | sct_439401001_gen_nonhpo, Genetische Diagnose, aber Phänotyp (HPO) nicht passend | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 59156000 | Confirmed by (qualifier value) | = 18669006 | Evidence of (contextual qualifier) (qualifier value) |
Choices: 
SCT: 439401001 | Diagnosis (observable entity) | : 20401003 | With (attribute) | = 405824009 | Genetic test (procedure) |
SCT: 39154008 | Clinical diagnosis (contextual qualifier) (qualifier value) | : 20401003 | With (attribute) | = 8116006 | Phenotype finding (finding) |, 410657003 | Type (attribute) | = 41769001 | Disease suspected (situation)
SCT: 439401001 | Diagnosis (observable entity) | : 20401003 | With (attribute) | = 405824009 | Genetic test (procedure) |, 45169001 | Without (attribute) | = (8116006 | Phenotype finding (finding) | : 

SCT: 1220561009 | Not recorded (qualifier value) |"
sct_39154008_hpo,erker_v15ib,,dropdown,6.1.13 Klinisch gesicherte Diagnose entsprechend HPO,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst","Bitte angeben, ob eine klinisch gesicherte Diagnose entsprechend der HPO vorliegt.",,,,,,,,,,,"Variable:
SCT: 39154008 | Clinical diagnosis (contextual qualifier) (qualifier value) | : 116676008 | Associated morphology (attribute) | = 8116006 | Phenotype finding (finding) |
Choices: 
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_106221001_biom_val,erker_v15ib,,dropdown,6.1.14 Gesicherte Diagnose anhand spezifischer Biomarker ,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst","Bitte angeben, ob eine gesicherte Diagnose anhand spezifischer Biomarker vorliegt",,,,,,,,,,,"Variable:
SCT: 106221001 | Genetic finding (finding) | : 20401003 | With (attribute) |  = 20889005 | Genetic marker, function (observable entity) |, 263490005 | Status (attribute) | = 405672008 | Direct questioning (procedure) |
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_106221001_biom,erker_v15ib,,text,6.1.14A Biomarker Befund,,Bitte Biomarker Befund angeben,,,,,"[sct_106221001_biom_val] = ""sct_373066001""",,,,,,"Variable:
SCT: 106221001 | Genetic finding (finding) | : 20401003 | With (attribute) |  = 20889005 | Genetic marker, function (observable entity) |"
sct_406522009,erker_v15ib,,dropdown,6.1.15 War die (Primär-)Diagnose der SE korrekt als der:die Patient:in das 1. Mal Kontakt zum Zentrum hatte?,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 406522009 | Transfer diagnosis (qualifier value) | : 371881003 | During (attribute) | = 769681006 | First encounter by subject (finding),  246061005 | Attribute (attribute) | = 31874001 | True (qualifier value) |
Choices:
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_48007_9,erker_v15ib,,dropdown,6.1.16 Zygotie der (Primär-)Diagnose,"ln_LA6705-3, Homozygotie | ln_LA6706-1, Heterozygotie | ln_LA6707-9, Hemizygotie | sct_1220561009, Nicht erfasst",... der Orpha (Verdachts- oder Haupt-) Diagnose,,,,,,,,,,,"Variable:
LOINC: 48007-9 | 
Genetic variant allelic state [Type] in Blood or Tissue by Molecular genetics method 
""of""
439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |
Choices:
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_48007_9_mitoch,erker_v15ib,,dropdown,6.1.17 Mitochondriale Vererbung der (Primär-)Diagnose,"ln_LA6703-8, Heteroplasmie | ln_LA6704-6, Homoplasmie | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
LOINC: 48007-9 | 
Genetic variant allelic state [Type] in Blood or Tissue by Molecular genetics method 
part: 45883002 | Mitochondrial ribonucleic acid (substance) |
""of"" 
439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |
Choices:
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_277132007,erker_v15ib,,checkbox,6.1.18 spezifische Therapie,"sct_260413007, Keine | sct_416608005_1003735000_257544000_68369002_64572001, Pharmakotherapie (gezielt auf dem Krankheitsmechanismus basierend, nicht nur symptomatisch) | sct_394613000, Gentherapie | sct_277132007_20401003_69908008, mRNA Therapie | sct_277132007_20401003_68498002, Antikörpertherapie | sct_1156961008, CAR-T-Zelltherapie | sct_234336002, Stammzelltransplantation | sct_309541009, Stoffwechseltherapie | sct_387713003, Gezielte chirurgische Eingriffe | sct_74964007, Sonstiges | sct_261665006, Unbekannt",,,,,,,,,,,,"Variable:
SCT: 277132007 | Therapeutic procedure (procedure) |
Choices: 
SCT: 260413007 | None (qualifier value) |
SCT: 416608005 | Drug therapy (procedure) | : 1003735000 | Process acts on (attribute) | = ( 257544000 | (Mechanisms (qualifier value) | : 68369002 | Brought on by (attribute) | = 64572001 | Disease (disorder) | )
SCT: 394613000 | Gene therapy (procedure) |
SCT: 277132007 | Therapeutic procedure (procedure) | : 20401003 | With (attribute) | = 69908008 | Messenger ribonucleic acid (substance) |
SCT: 277132007 | Therapeutic procedure (procedure) | : 20401003 | With (attribute) | = 68498002 | Antibody (substance) |
SCT: 1156961008 | Chimeric antigen receptor T-cell immunotherapy (procedure) |
SCT: 234336002 | Hemopoietic stem cell transplant (procedure) | 
SCT: 309541009 | Metabolic therapy (procedure) | 
SCT: 387713003 | Surgical procedure (procedure) |
SCT: 74964007 | Other (qualifier value) | 
SCT: 261665006 | Unknown (qualifier value) |"
sct_277132007_other,erker_v15ib,,text,6.1.19 Sonstige spezifische Therapie,,Bitte Angaben zur sonstigen spezifischen Therapie ergänzen,,,,,,,,,,,"Variable:
SCT: 277132007 | Therapeutic procedure (procedure) | : 410657003 | Type (attribute) | = 74964007 | Other (qualifier value) |"
sct_439401001_gen_val,erker_v15ib,6.2 Genetischer Befund,dropdown,6.2.1 Genetisch gesicherte Diagnose?,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst","Bitte angeben, ob eine genetisch gesicherte Diagnose vorliegt",,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 260686004 | Method (attribute) | = 405824009 | Genetic test (procedure) |"
ln_ll4048_6,erker_v15ib,,dropdown,6.2.2 Genutzte Methode genetische Untersuchung,"ln_LA26406-1, Karyotypisierung | ln_LA26404-6, FISH | ln_LA26418-6, PCR | ln_LA26419-4, qPCR (real-time PCR) | ln_LA26400-4, SNP array | ln_LA26813-8, RFLP (Restriktionsfragment-Längen-Polymorphismus) | ln_LA26810-4, DNA-Hybridisierung | ln_LA26398-0, Sequenzierung (NGS, Sanger, etc.) | ln_LA26415-2, MLPA | sct_74964007, Andere | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
LOINC: LL4048-6 | Structural variant analysis method |
Choices:
LOINC: LA26406-1 | Karyotyping |, LA26404-6 | FISH |, LA26418-6 | PCR |, LA26419-4 | qPCR (real-time PCR) |, LA26400-4 | SNP array |, LA26813-8 | Restriction fragment length polymorphism (RFLP) |, LA26810-4 | DNA hybridization |, LA26398-0 | Sequencing |, LA26415-2 | MLPA |
SCT: 74964007 | Other (qualifier value) | 
SCT: 1220561009 | Not recorded (qualifier value) |"
omim_explanation,erker_v15ib,,descriptive,"<div class=""rich-text-field-label""><p>OMIM (Online Mendelian Inheritance in Man) <span style=""font-weight: normal;"">ist ein umfassendes, maßgebliches Kompendium menschlicher Gene und genetischer Phänotypen, das frei zugänglich ist und täglich aktualisiert wird. Die referenzierten Volltextübersichten in OMIM enthalten Informationen zu allen bekannten Mendelschen Erkrankungen und über 16.000 Genen. OMIM konzentriert sich auf die </span>Beziehung zwischen Phänotyp und Genotyp<span style=""font-weight: normal;"">. OMIM wird am McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins University School of Medicine, unter der Leitung von Dr. Ada Hamosh verfasst und bearbeitet.</span><br /><span style=""text-decoration: underline;""><span style=""font-weight: normal;"">http://www.omim.org/</span></span><br />OMIM_g-Code<span style=""font-weight: normal;"">: nach betroffenem Gen der Krankheit suchen</span><br />OMIM_p-Code: <span style=""font-weight: normal;"">nach phänotypischer Ausprägung der Krankheit suchen</span></p></div>",,,,,,,,,,,,,
sct_439401001_omim_g_1,erker_v15ib,,text,6.2.3.1A Genetische (Primär-)Diagnose [OMIM_g-Code],BIOPORTAL:OMIM,Korrespondiert zu der ersten klinisch relevanten Variante.,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 410657003 | Type (attribute) | = [...]
+ ""_1"" | first clinically relevant variant |"
sct_439401001_omim_p_1,erker_v15ib,,text,6.2.3.1B Genetische (Primär-)Diagnose [OMIM_p-Code],BIOPORTAL:OMIM,Korrespondiert zu der ersten klinisch relevanten Variante.,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 410657003 | Type (attribute) | = [...]
+ ""_1"" | first clinically relevant variant |"
sct_439401001_omim_g_2,erker_v15ib,,text,6.2.3.2A Genetische (Primär-)Diagnose [OMIM_g-Code],BIOPORTAL:OMIM,Korrespondiert zu der zweiten klinisch relevanten Variante.,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 410657003 | Type (attribute) | = [...]
+ ""_2"" | second clinically relevant variant |"
sct_439401001_omim_p_2,erker_v15ib,,text,6.2.3.2B Genetische (Primär-)Diagnose [OMIM_p-Code],BIOPORTAL:OMIM,Korrespondiert zu der zweiten klinisch relevanten Variante.,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 410657003 | Type (attribute) | = [...]
+ ""_2"" | second clinically relevant variant |"
sct_439401001_omim_g_3,erker_v15ib,,text,6.2.3.3A Genetische (Primär-)Diagnose [OMIM_g-Code],BIOPORTAL:OMIM,Korrespondiert zu der dritten klinisch relevanten Variante.,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 410657003 | Type (attribute) | = [...]
+ ""_3"" | third clinically relevant variant |"
sct_439401001_omim_p_3,erker_v15ib,,text,6.2.3.3B Genetische (Primär-)Diagnose [OMIM_p-Code],BIOPORTAL:OMIM,Korrespondiert zu der dritten klinisch relevanten Variante.,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 8319008 | Principal diagnosis (contextual qualifier) (qualifier value) |, 410657003 | Type (attribute) | = [...]
+ ""_3"" | third clinically relevant variant |"
hgvs_explanation,erker_v15ib,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Die </span>HGVS-Nomenklatur<span style=""font-weight: normal;""> enthält Empfehlungen für die Beschreibung von Sequenzvarianten in DNA-, RNA- und Proteinsequenzen. Sie wird verwendet, um den Austausch von Informationen über solche Varianten zu melden und dient als internationaler Standard. Die HGVS-Codes können z.B. über <a title=""https://varsome.com/"" href=""https://varsome.com/"">VarSome The Human Genomics Community</a> gefunden werden. Wenn möglich die HGVS-Codes unter folgendem Link validieren: </span><a href=""https://lhcforms.nlm.nih.gov/fhir/hgvs-validator/"" target=""_blank"" rel=""noopener"">https://lhcforms.nlm.nih.gov/fhir/hgvs-validator/</a>. <span style=""font-weight: normal;"">Ansonsten alle Mutationen dem ""unvalidierten Freitext"" hinzufügen.<br /><span style=""text-decoration: underline;"">Für weitere klinisch relevante Varianten</span> jew. das HGVS Freitext Feld befüllen.</span></p></div>",,,,,,,,,,,,,
ln_62374_4_1,erker_v15ib,6.2.4 - 1. klinisch relevante Variante,dropdown,6.2.4A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_1"" | first clinically relevant variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_1,erker_v15ib,,text,6.2.4B klinisch relevante Variante [HGVS Freitext],,"unvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,,,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |, 260726005 | Part (attribute) | = 255216001 | First (qualifier value) |"
ln_81290_9_1,erker_v15ib,,text,6.2.4C klinisch relevante Variante [g.HGVS],,HGVS-validierter Genomic DNA change (g.HGVS),,,,,,,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_1"" | first clinically relevant variant |"
ln_48004_6_1,erker_v15ib,,text,6.2.4D klinisch relevante Variante [c.HGVS],,HGVS-validierter DNA change (c.HGVS),,,,,,,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_1"" | first clinically relevant variant |"
ln_48005_3_1,erker_v15ib,,text,6.2.4E klinisch relevante Variante [p.HGVS],,HGVS-validierte Veränderung auf Proteinebene [p.HGVS],,,,,,,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_1"" | first clinically relevant variant |"
ln_48018_6_1,erker_v15ib,,text,6.2.4F klinisch relevante Variante [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,,,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_1"" | first clinically relevant variant |"
ln_48002_0_1,erker_v15ib,,dropdown,6.2.4G Ursprung der Variante,"ln_LA6683-2, Keimbahn | ln_LA6684-0, somatisch | ln_LA10429-1, Fetal | ln_LA18194-3, Wahrscheinlich Keimbahn | ln_LA18195-0, Wahrscheinlich somatisch | ln_LA18196-8, Wahrscheinlich fetal | ln_LA18197-6, Unbekannter genomischer Ursprung | ln_LA26807-0, De novo | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
LOINC: 48002-0 | Genomic source class [Type] |
+ ""_1"" | first clinically relevant variant |
Choices:
LOINC: LA6683-2, LA6684-0, LA10429-1, LA18194-3, LA18195-0, ln_LA18196-8, LA18197-6, LA26807-0
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_48019_4_1,erker_v15ib,,dropdown,6.2.4H DNA Mutationstyp,"SO_1000008, Punktmutation | SO_0000159, Deletion | SO_0000667, Insertion | SO_10000321, Insertion und Deletion | SO_1000002, Substitution | SO_1000009, Transition | SO_1000017, Transversion | SO_0002165, Trinukleotid-Repeat-Mutation | sct_74964007, Sonstiges | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
LOINC: 48019-4 | DNA change type |
+ ""_1"" | first clinically relevant variant |
Choices:
SEQUENCE ONTOLOGY: SO_1000008, SO_0000159, SO_0000667, SO_10000321, SO_1000002, SO_1000009, SO_1000017, SO_0002165
SCT:  74964007 | Other (qualifier value) | 
1220561009 | Not recorded (qualifier value) |"
ln_53037_8_1,erker_v15ib,,dropdown,6.2.4I Klinische Signifikanz [ACMG],"ln_LA6668-3, Krankheitserregend | ln_LA26332-9, Wahrscheinlich krankheitserregend | ln_LA26333-7, Ungewisse Bedeutung | ln_LA26334-5, Wahrscheinlich gutartig | ln_LA6675-8, Gutartig | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variabe:
LOINC: 53037-8 | Genetic variation clinical significance [Imp] |
+ ""_1"" | first clinically relevant variant |
Choices:
LOINC: LA6668-3, LA26332-9, LA26333-7, ln_LA26334-5, LA6675-8
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_93044_6_1,erker_v15ib,,dropdown,6.2.4J Clinical Annotation Level Of Evidence,"ln_LA30200-2, Sehr starke Hinweise auf Pathogenität | ln_LA30201-0, Starker Hinweis auf Pathogenität | ln_LA30202-8, Mäßiger Hinweis auf Pathogenität | ln_LA30203-6, Unterstützende Hinweise auf Pathogenität | ln_LA30204-4, Unterstützende Beweise gutartig | ln_LA30205-1, Starker Hinweis auf Gutartigkeit | ln_LA30206-9, Eigenständiger Nachweis pathogen | ln_LA30207-7, Einzelnachweis gutartig | ln_LA26333-7, Ungewisse Bedeutung | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
LOINC: 93044-6 | Level of evidence | 
+ ""_1"" | first clinically relevant variant |
Choices:
LOINC: LA30200-2, LA30201-0, LA30202-8, LA30203-6, LA30204-4, LA30205-1, LA30206-9, LA30207-7, LA26333-7
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_62374_4_2,erker_v15ib,6.2.5 - 2. klinisch relevante Variante,dropdown,6.2.5A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_2"" | second clinically relevant variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_2,erker_v15ib,,text,6.2.5B klinisch relevante Variante [HGVS Freitext],,"unvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |, 260726005 | Part (attribute) | = 81170007 | Second (qualifier value) |"
ln_81290_9_2,erker_v15ib,,text,6.2.5C klinisch relevante Variante [g.HGVS],,HGVS-validierter Genomic DNA change (g.HGVS),,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_2"" | second clinically relevant variant |"
ln_48004_6_2,erker_v15ib,,text,6.2.5D klinisch relevante Variante [c.HGVS],,HGVS-validierter DNA change (c.HGVS),,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_2"" | second clinically relevant variant |"
ln_48005_3_2,erker_v15ib,,text,6.2.5E klinisch relevante Variante [p.HGVS],,HGVS-validierte Veränderung auf Proteinebene [p.HGVS],,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_2"" | second clinically relevant variant |"
ln_47999_8_2,erker_v15ib,,text,6.2.5F klinisch relevante Variante [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_2"" | second clinically relevant variant |"
ln_48002_0_2,erker_v15ib,,dropdown,6.2.5G Ursprung der Variante,"ln_LA6683-2, Keimbahn | ln_LA6684-0, somatisch | ln_LA10429-1, Fetal | ln_LA18194-3, Wahrscheinlich Keimbahn | ln_LA18195-0, Wahrscheinlich somatisch | ln_LA18196-8, Wahrscheinlich fetal | ln_LA18197-6, Unbekannter genomischer Ursprung | ln_LA26807-0, De novo | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 48002-0 | Genomic source class [Type] |
+ ""_2"" | second clinically relevant variant |
Choices:
LOINC: LA6683-2, LA6684-0, LA10429-1, LA18194-3, LA18195-0, ln_LA18196-8, LA18197-6, LA26807-0
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_48019_4_2,erker_v15ib,,dropdown,6.2.5H DNA Mutationstyp,"SO_1000008, Punktmutation | SO_0000159, Deletion | SO_0000667, Insertion | SO_10000321, Insertion und Deletion | SO_1000002, Substitution | SO_1000009, Transition | SO_1000017, Transversion | SO_0002165, Trinukleotid-Repeat-Mutation | sct_74964007, Sonstiges | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 48019-4 | DNA change type |
+ ""_2"" | second clinically relevant variant |
Choices:
SEQUENCE ONTOLOGY: SO_1000008, SO_0000159, SO_0000667, SO_10000321, SO_1000002, SO_1000009, SO_1000017, SO_0002165
SCT:  74964007 | Other (qualifier value) | 
1220561009 | Not recorded (qualifier value) |"
ln_53037_8_2,erker_v15ib,,dropdown,6.2.5I Klinische Signifikanz [ACMG],"ln_LA6668-3, Krankheitserregend | ln_LA26332-9, Wahrscheinlich krankheitserregend | ln_LA26333-7, Ungewisse Bedeutung | ln_LA26334-5, Wahrscheinlich gutartig | ln_LA6675-8, Gutartig | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variabe:
LOINC: 53037-8 | Genetic variation clinical significance [Imp] |
+ ""_2"" | second clinically relevant variant |
Choices:
LOINC: LA6668-3, LA26332-9, LA26333-7, ln_LA26334-5, LA6675-8
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_93044_6_2,erker_v15ib,,dropdown,6.2.5J Clinical Annotation Level Of Evidence,"ln_LA30200-2, Sehr starke Hinweise auf Pathogenität | ln_LA30201-0, Starker Hinweis auf Pathogenität | ln_LA30202-8, Mäßiger Hinweis auf Pathogenität | ln_LA30203-6, Unterstützende Hinweise auf Pathogenität | ln_LA30204-4, Unterstützende Beweise gutartig | ln_LA30205-1, Starker Hinweis auf Gutartigkeit | ln_LA30206-9, Eigenständiger Nachweis pathogen | ln_LA30207-7, Einzelnachweis gutartig | ln_LA26333-7, Ungewisse Bedeutung | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_1]  <> """"",,,,,,"Variable:
LOINC: 93044-6 | Level of evidence | 
+ ""_2"" | second clinically relevant variant |
Choices:
LOINC: LA30200-2, LA30201-0, LA30202-8, LA30203-6, LA30204-4, LA30205-1, LA30206-9, LA30207-7, LA26333-7
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_62374_4_3,erker_v15ib,6.2.6 - 3. klinisch relevante Variante,dropdown,6.2.6A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | _3: third clinically relevant variant
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_3,erker_v15ib,,text,6.2.6B klinisch relevante Variante [HGVS Freitext],,"unvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |, 260726005 | Part (attribute) | = 70905002 | Third (qualifier value) |"
ln_81290_9_3,erker_v15ib,,text,6.2.6C klinisch relevante Variante [g.HGVS],,HGVS-validierter Genomic DNA change (g.HGVS),,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_3"" | third clinically relevant variant |"
ln_48004_6_3,erker_v15ib,,text,6.2.6D klinisch relevante Variante [c.HGVS],,HGVS-validierter DNA change (c.HGVS),,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_3"" | third clinically relevant variant |"
ln_48005_3_3,erker_v15ib,,text,6.2.6E klinisch relevante Variante [p.HGVS],,HGVS-validierte Veränderung auf Proteinebene [p.HGVS],,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_3"" | third clinically relevant variant |"
ln_47999_8_3,erker_v15ib,,text,6.2.6F klinisch relevante Variante [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_3"" | third clinically relevant variant |"
ln_48002_0_3,erker_v15ib,,dropdown,6.2.6G Ursprung der Variante,"ln_LA6683-2, Keimbahn | ln_LA6684-0, somatisch | ln_LA10429-1, Fetal | ln_LA18194-3, Wahrscheinlich Keimbahn | ln_LA18195-0, Wahrscheinlich somatisch | ln_LA18196-8, Wahrscheinlich fetal | ln_LA18197-6, Unbekannter genomischer Ursprung | ln_LA26807-0, De novo | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 48002-0 | Genomic source class [Type] |
+ ""_3"" | third clinically relevant variant |
Choices:
LOINC: LA6683-2, LA6684-0, LA10429-1, LA18194-3, LA18195-0, ln_LA18196-8, LA18197-6, LA26807-0
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_48019_4_3,erker_v15ib,,dropdown,6.2.6H DNA Mutationstyp,"SO_1000008, Punktmutation | SO_0000159, Deletion | SO_0000667, Insertion | SO_10000321, Insertion und Deletion | SO_1000002, Substitution | SO_1000009, Transition | SO_1000017, Transversion | SO_0002165, Trinukleotid-Repeat-Mutation | sct_74964007, Sonstiges | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 48019-4 | DNA change type |
+ ""_3"" | third clinically relevant variant |
Choices:
SEQUENCE ONTOLOGY: SO_1000008, SO_0000159, SO_0000667, SO_10000321, SO_1000002, SO_1000009, SO_1000017, SO_0002165
SCT:  74964007 | Other (qualifier value) | 
1220561009 | Not recorded (qualifier value) |"
